м,ж
Вдохновляющий,Вдохновляющая
Вдумчивый,Вдумчивая
Вежливый,Вежливая
Вездесущий,Вездесущая
Везучий,Везучая
Великий,Великая
Великодушный,Великодушная
Великолепный,Великолепная
Величавый,Величавая
Верный,Верная
Вероятный,Вероятная
Верткий,Верткая
Веселый,Веселая
Весенний,Весенняя
Весомый,Весомая
Вечерний,Вечерняя
Вечный,Вечная
Вещественный,Вещественная
Вещий,Вещая
Взаимный,Взаимная
Видимый,Видимая
Видный,Видная
Виртуальный,Виртуальная
Виртуозный,Виртуозная
Вирусный,Вирусная
Витиеватый,Витиеватая
Вишневый,Вишневая
Вкрадчивый,Вкрадчивая
Вкусный,Вкусная
Влюбленный,Влюбленная
Внезапный,Внезапная
Внеплановый,Внеплановая
Внимательный,Внимательная
Внушительный,Внушительная
Внятный,Внятная
Вожделенный,Вожделенная
Возвышенный,Возвышенная
Воздушный,Воздушная
Возможный,Возможная
Волевой,Волевая
Волнистый,Волнистая
Волнительный,Волнительная
Волнующий,Волнующая
Волшебный,Волшебная
Воображаемый,Воображаемая
Воодушевленный,Воодушевленная
Воспитанный,Воспитанная
Восторженный,Восторженная
Востребованный,Востребованная
Восхитительный,Восхитительная
Восхищенный,Восхищенная
Восходящий,Восходящая
Впечатлительный,Впечатлительная
Впечатляющий,Впечатляющая
Всевидящий,Всевидящая
Всевозможный,Всевозможная
Всезнающий,Всезнающая
Вселенский,Вселенская
Всемирный,Всемирная
Всемогущий,Всемогущая
Всесильный,Всесильная
Всесторонний,Всесторонняя
Всякий,Всякая
Вымышленный,Вымышленная
Выносливый,Выносливая
Выраженный,Выраженная
Выразительный,Выразительная
Вяжущий,Вяжущая
Галантный,Галантная
Гармоничный,Гармоничная
Гениальный,Гениальная
Героический,Героическая
Гибкий,Гибкая
Гигантский,Гигантская
Гипотетический,Гипотетическая
Главный,Главная
Глобальный,Глобальная
Говорливый,Говорливая
Говорящий,Говорящая
Годный,Годная
Голосистый,Голосистая
Горный,Горная
Горячий,Горячая
Гостеприимный,Гостеприимная
Грамотный,Грамотная
Грандиозный,Грандиозная
Грациозный,Грациозная
Гремучий,Гремучая
Громкий,Громкая
Грядущий,Грядущая
Гуманный,Гуманная
Давний,Давняя
Далекий,Далекая
Дальновидный,Дальновидная
Даровитый,Даровитая
Движущий,Движущая
Действующий,Действующая
Деликатный,Деликатная
Дерзкий,Дерзкая
Деятельный,Деятельная
Дивный,Дивная
Диковинный,Диковинная
Динамичный,Динамичная
Дипломатичный,Дипломатичная
Доблестный,Доблестная
Добровольный,Добровольная
Добродушный,Добродушная
Добросовестный,Добросовестная
Добрый,Добрая
Доверчивый,Доверчивая
Довольный,Довольная
Догадливый,Догадливая
Долгожданный,Долгожданная
Домашний,Домашняя
Дополнительный,Дополнительная
Допустимый,Допустимая
Достойный,Достойная
Досягаемый,Досягаемая
Дотошный,Дотошная
Доходчивый,Доходчивая
Драгоценный,Драгоценная
Древний,Древняя
Дружелюбный,Дружелюбная
Дружественный,Дружественная
Дружный,Дружная
Душевный,Душевная
Единственный,Единственная
Естественный,Естественная
Жаждущий,Жаждущая
Жаркий,Жаркая
Желанный,Желанная
Живительный,Живительная
Жизненный,Жизненная
Жизнерадостный,Жизнерадостная
Забавный,Забавная
Заботливый,Заботливая
Забытый,Забытая
Заведомый,Заведомая
Заветный,Заветная
Завидный,Завидная
Загадочный,Загадочная
Заданный,Заданная
Задорный,Задорная
Задумчивый,Задумчивая
Задушевный,Задушевная
Зажигательный,Зажигательная
Заинтересованный,Заинтересованная
Закадычный,Закадычная
Закаленный,Закаленная
Заключительный,Заключительная
Заколдованный,Заколдованная
Законный,Законная
Закономерный,Закономерная
Закоренелый,Закоренелая
Закрытый,Закрытая
Залихватский,Залихватская
Заманчивый,Заманчивая
Замаскированный,Замаскированная
Заметный,Заметная
Замечательный,Замечательная
Замысловатый,Замысловатая
Занимательный,Занимательная
Занятный,Занятная
Занятый,Занятая
Запредельный,Запредельная
Заслуженный,Заслуженная
Застенчивый,Застенчивая
Застывший,Застывшая
Затейливый,Затейливая
Затерянный,Затерянная
Захватывающий,Захватывающая
Защищенный,Защищенная
Званый,Званая
Звездный,Звездная
Звенящий,Звенящая
Звонкий,Звонкая
Звучащий,Звучащая
Здешний,Здешняя
Здоровый,Здоровая
Здравомыслящий,Здравомыслящая
Знакомый,Знакомая
Знаменитый,Знаменитая
Значимый,Значимая
Знающий,Знающая
Знойный,Знойная
Зоркий,Зоркая
Зрелый,Зрелая
Игривый,Игривая
Идеальный,Идеальная
Идейный,Идейная
Избранный,Избранная
Известный,Известная
Извечный,Извечная
Извилистый,Извилистая
Изворотливый,Изворотливая
Излучающий,Излучающая
Излюбленный,Излюбленная
Изменчивый,Изменчивая
Изобретательный,Изобретательная
Изощренный,Изощренная
Изумительный,Изумительная
Изумрудный,Изумрудная
Изысканный,Изысканная
Изящный,Изящная
Импозантный,Импозантная
Инициативный,Инициативная
Интеллектуальный,Интеллектуальная
Интеллигентный,Интеллигентная
Интересный,Интересная
Интригующий,Интригующая
Ироничный,Ироничная
Исключительный,Исключительная
Исконный,Исконная
Искренний,Искренняя
Искусный,Искусная
Искушенный,Искушенная
Исполнительный,Исполнительная
Истинный,Истинная
Ищущий,Ищущая
Каменный,Каменная
Категоричный,Категоричная
Классный,Классная
Клетчатый,Клетчатая
Кокетливый,Кокетливая
Колоритный,Колоритная
Колоссальный,Колоссальная
Комичный,Комичная
Компетентный,Компетентная
Конкретный,Конкретная
Конкурентный,Конкурентная
Конструктивный,Конструктивная
Контактный,Контактная
Концептуальный,Концептуальная
Корректный,Корректная
Косвенный,Косвенная
Красивый,Красивая
Красноречивый,Красноречивая
Крашеный,Крашеная
Крепкий,Крепкая
Кропотливый,Кропотливая
Кроткий,Кроткая
Крутой,Крутая
Культурный,Культурная
Кучерявый,Кучерявая
Ладный,Ладная
Лазурный,Лазурная
Лаконичный,Лаконичная
Ласковый,Ласковая
Легендарный,Легендарная
Легкий,Легкая
Ледовый,Ледовая
Ликующий,Ликующая
Лиловый,Лиловая
Липкий,Липкая
Лирический,Лирическая
Ловкий,Ловкая
Логичный,Логичная
Локальный,Локальная
Лояльный,Лояльная
Лукавый,Лукавая
Лучистый,Лучистая
Лучший,Лучшая
Любезный,Любезная
Любимый,Любимая
Любознательный,Любознательная
Любопытный,Любопытная
Любящий,Любящая
Лютый,Лютая
Магический,Магическая
Манящий,Манящая
Масляный,Масляная
Массивный,Массивная
Масштабный,Масштабная
Математический,Математическая
Материальный,Материальная
Мгновенный,Мгновенная
Медленный,Медленная
Медлительный,Медлительная
Медный,Медная
Медовый,Медовая
Меланхоличный,Меланхоличная
Мелодичный,Мелодичная
Местный,Местная
Меткий,Меткая
Методичный,Методичная
Мечтательный,Мечтательная
Миловидный,Миловидная
Милосердный,Милосердная
Милостивый,Милостивая
Милый,Милая
Миниатюрный,Миниатюрная
Мирный,Мирная
Миролюбивый,Миролюбивая
Мистический,Мистическая
Мифический,Мифическая
Мнимый,Мнимая
Мнительный,Мнительная
Многословный,Многословная
Могучий,Могучая
Модный,Модная
Мокрый,Мокрая
Молниеносный,Молниеносная
Молодой,Молодая
Молчаливый,Молчаливая
Монументальный,Монументальная
Морозный,Морозная
Мотивированный,Мотивированная
Мощный,Мощная
Мудреный,Мудреная
Мудрый,Мудрая
Мужественный,Мужественная
Музыкальный,Музыкальная
Мыслимый,Мыслимая
Мыслящий,Мыслящая
Мягкий,Мягкая
Мятежный,Мятежная
Мятный,Мятная
Наблюдательный,Наблюдательная
Надежный,Надежная
Названый,Названая
Назидательный,Назидательная
Наивный,Наивная
Напористый,Напористая
Народный,Народная
Нарядный,Нарядная
Насмешливый,Насмешливая
Настойчивый,Настойчивая
Настороженный,Настороженная
Настоящий,Настоящая
Находчивый,Находчивая
Начитанный,Начитанная
Небывалый,Небывалая
Неведомый,Неведомая
Невероятный,Невероятная
Невиданный,Невиданная
Невидимый,Невидимая
Невозмутимый,Невозмутимая
Невообразимый,Невообразимая
Невредимый,Невредимая
Недоступный,Недоступная
Недосягаемый,Недосягаемая
Нежданный,Нежданная
Нежный,Нежная
Незабываемый,Незабываемая
Независимый,Независимая
Незаменимый,Незаменимая
Незаметный,Незаметная
Незаурядный,Незаурядная
Незнакомый,Незнакомая
Незыблемый,Незыблемая
Неизвестный,Неизвестная
Нейтральный,Нейтральная
Некий,Некая
Неколебимый,Неколебимая
Некоторый,Некоторая
Нелишний,Нелишняя
Немаловажный,Немаловажная
Немедленный,Немедленная
Неминуемый,Неминуемая
Немногословный,Немногословная
Немыслимый,Немыслимая
Ненавязчивый,Ненавязчивая
Ненаглядный,Ненаглядная
Необычный,Необычная
Неоднозначный,Неоднозначная
Неожиданный,Неожиданная
Неописуемый,Неописуемая
Неординарный,Неординарная
Неотвратимый,Неотвратимая
Неотразимый,Неотразимая
Неотступный,Неотступная
Неоценимый,Неоценимая
Непобедимый,Непобедимая
Неповторимый,Неповторимая
Неподражаемый,Неподражаемая
Непоколебимый,Непоколебимая
Непокорный,Непокорная
Непоседливый,Непоседливая
Непостижимый,Непостижимая
Непревзойденный,Непревзойденная
Непредсказуемый,Непредсказуемая
Непреклонный,Непреклонная
Непривычный,Непривычная
Неприметный,Неприметная
Непринужденный,Непринужденная
Неприхотливый,Неприхотливая
Несокрушимый,Несокрушимая
Неспешный,Неспешная
Несравненный,Несравненная
Неторопливый,Неторопливая
Неугомонный,Неугомонная
Неудержимый,Неудержимая
Неукротимый,Неукротимая
Неуловимый,Неуловимая
Неунывающий,Неунывающая
Неусыпный,Неусыпная
Неутомимый,Неутомимая
Неуязвимый,Неуязвимая
Новоиспеченный,Новоиспеченная
Новомодный,Новомодная
Новый,Новая
Нормальный,Нормальная
Нужный,Нужная
Нынешний,Нынешняя
Обаятельный,Обаятельная
Обещающий,Обещающая
Обожаемый,Обожаемая
Образованный,Образованная
Образцовый,Образцовая
Обходительный,Обходительная
Общеизвестный,Общеизвестная
Общительный,Общительная
Объективный,Объективная
Обыкновенный,Обыкновенная
Обычный,Обычная
Обязанный,Обязанная
Обязательный,Обязательная
Огненный,Огненная
Одаренный,Одаренная
Однозначный,Однозначная
Одушевленный,Одушевленная
Оживленный,Оживленная
Озорной,Озорная
Определенный,Определенная
Опрятный,Опрятная
Оптимальный,Оптимальная
Оптимистичный,Оптимистичная
Опытный,Опытная
Оранжевый,Оранжевая
Организованный,Организованная
Оригинальный,Оригинальная
Ослепительный,Ослепительная
Осмотрительный,Осмотрительная
Особенный,Особенная
Особый,Особая
Осторожный,Осторожная
Острый,Острая
Отважный,Отважная
Ответственный,Ответственная
Отдаленный,Отдаленная
Отдельный,Отдельная
Откровенный,Откровенная
Открытый,Открытая
Отличный,Отличная
Отчаянный,Отчаянная
Официальный,Официальная
Очевидный,Очевидная
Ошеломленный,Ошеломленная
Педантичный,Педантичная
Перспективный,Перспективная
Пестрый,Пестрая
Повседневный,Повседневная
Подвижный,Подвижная
Подлинный,Подлинная
Подозрительный,Подозрительная
Подходящий,Подходящая
Позитивный,Позитивная
Показательный,Показательная
Полезный,Полезная
Полноценный,Полноценная
Положительный,Положительная
Понимающий,Понимающая
Понятливый,Понятливая
Понятный,Понятная
Популярный,Популярная
Поразительный,Поразительная
Порядочный,Порядочная
Последний,Последняя
Последовательный,Последовательная
Послушный,Послушная
Посторонний,Посторонняя
Постоянный,Постоянная
Потенциальный,Потенциальная
Потрясающий,Потрясающая
Похожий,Похожая
Почетный,Почетная
Почтительный,Почтительная
Поэтический,Поэтическая
Правильный,Правильная
Праздничный,Праздничная
Практичный,Практичная
Преданный,Преданная
Прежний,Прежняя
Прекрасный,Прекрасная
Престижный,Престижная
Приветливый,Приветливая
Привлекательный,Привлекательная
Привычный,Привычная
Признанный,Признанная
Приличный,Приличная
Принципиальный,Принципиальная
Принятый,Принятая
Причудливый,Причудливая
Приятный,Приятная
Прозрачный,Прозрачная
Пронзительный,Пронзительная
Простой,Простая
Профессиональный,Профессиональная
Пылкий,Пылкая
Равный,Равная
Радостный,Радостная
Разборчивый,Разборчивая
Развитый,Развитая
Разговорчивый,Разговорчивая
Размышляющий,Размышляющая
Разумный,Разумная
Рассеяный,Рассеяная
Расслабленный,Расслабленная
Расторопный,Расторопная
Рациональный,Рациональная
Реальный,Реальная
Редкий,Редкая
Решительный,Решительная
Робкий,Робкая
Ровный,Ровная
Романтический,Романтическая
Романтичный,Романтичная
Роскошный,Роскошная
Руководящий,Руководящая
Самостоятельный,Самостоятельная
Свежий,Свежая
Светский,Светская
Свободный,Свободная
Своеобразный,Своеобразная
Сговорчивый,Сговорчивая
Сдержанный,Сдержанная
Секретный,Секретная
Сердечный,Сердечная
Серьезный,Серьезная
Сильный,Сильная
Симпатичный,Симпатичная
Скорый,Скорая
Скромный,Скромная
Славный,Славная
Следующий,Следующая
Случайный,Случайная
Смелый,Смелая
Смешной,Смешная
Смеющийся,Смеющаяся
Смышленый,Смышленая
Снежный,Снежная
Снисходительный,Снисходительная
Совершенный,Совершенная
Современный,Современная
Согласный,Согласная
Сознательный,Сознательная
Солидный,Солидная
Сонный,Сонная
Соответствующий,Соответствующая
Соседний,Соседняя
Сосредоточенный,Сосредоточенная
Состоятельный,Состоятельная
Сочувствующий,Сочувствующая
Специальный,Специальная
Спокойный,Спокойная
Спортивный,Спортивная
Способный,Способная
Справедливый,Справедливая
Стабильный,Стабильная
Стандартный,Стандартная
Старательный,Старательная
Странный,Странная
Счастливый,Счастливая
Таинственный,Таинственная
Тайный,Тайная
Талантливый,Талантливая
Творческий,Творческая
Терпеливый,Терпеливая
Типичный,Типичная
Тихий,Тихая
Точный,Точная
Традиционный,Традиционная
Трепетный,Трепетная
Трогательный,Трогательная
Тщательный,Тщательная
Убедительный,Убедительная
Убежденный,Убежденная
Уважаемый,Уважаемая
Уважительный,Уважительная
Уверенный,Уверенная
Увлеченный,Увлеченная
Удачливый,Удачливая
Удивительный,Удивительная
Удивленный,Удивленная
Узнаваемый,Узнаваемая
Умелый,Умелая
Умный,Умная
Уникальный,Уникальная
Уравновешенный,Уравновешенная
Усердный,Усердная
Успешный,Успешная
Устремленный,Устремленная
Уютный,Уютная
Фактический,Фактическая
Фантастический,Фантастическая
Хитрый,Хитрая
Хозяйственный,Хозяйственная
Хороший,Хорошая
Хрупкий,Хрупкая
Ценный,Ценная
Цивилизованный,Цивилизованная
Честный,Честная
Четкий,Четкая
Чистый,Чистая
Чувствительный,Чувствительная
Чудаковатый,Чудаковатая
Чудесный,Чудесная
Чудный,Чудная
Шаловливый,Шаловливая
Шумный,Шумная
Шутливый,Шутливая
Экономный,Экономная
Элегантный,Элегантная
Элементарный,Элементарная
Эмоциональный,Эмоциональная
Энергичный,Энергичная
Эпический,Эпическая
Эффективный,Эффективная
Эффектный,Эффектная
Юный,Юная
Явный,Явная
Яркий,Яркая
Ясный,Ясная
